# step                t               action                    Q
   170        17.000000   -196585.7358172699        -0.0532774039
   171        17.100000   -196585.8862096069        -0.0532216379
   172        17.200000   -196586.0348597623        -0.0531639556
   173        17.300000   -196586.1817702457        -0.0531044359
   174        17.400000   -196586.3269431636        -0.0530431594
   175        17.500000   -196586.4703802225        -0.0529802077
   176        17.600000   -196586.6120828690        -0.0529156637
   177        17.700000   -196586.7520523157        -0.0528496109
   178        17.800000   -196586.8902896410        -0.0527821335
   179        17.900000   -196587.0267958187        -0.0527133161
   180        18.000000   -196587.1615718187        -0.0526432437
   181        18.100000   -196587.2946186583        -0.0525720010
   182        18.200000   -196587.4259374602        -0.0524996728
   183        18.300000   -196587.5555294940        -0.0524263434
   184        18.400000   -196587.6833962310        -0.0523520966
   185        18.500000   -196587.8095394209        -0.0522770155
   186        18.600000   -196587.9339610954        -0.0522011823
   187        18.700000   -196588.0566636572        -0.0521246782
   188        18.800000   -196588.1776498696        -0.0520475831
   189        18.900000   -196588.2969229205        -0.0519699759
   190        19.000000   -196588.4144864331        -0.0518919338
   191        19.100000   -196588.5303445297        -0.0518135324
   192        19.200000   -196588.6445018321        -0.0517348457
   193        19.300000   -196588.7569634646        -0.0516559461
   194        19.400000   -196588.8677350979        -0.0515769037
   195        19.500000   -196588.9768229612        -0.0514977872
   196        19.600000   -196589.0842338481        -0.0514186627
   197        19.700000   -196589.1899751318        -0.0513395947
   198        19.800000   -196589.2940547395        -0.0512606452
   199        19.900000   -196589.3964812073        -0.0511818742
   200        20.000000   -196589.4972636256        -0.0511033393
