  0.50212699213544432                   (25.620579894429181,-21.452498957341081)             (-47.063485308910884,-4.2626005584285993)         (5.12271228449519000E-002,42.229365711157506)              (14.487313191209326,-63.007953392092709)         (67.283122247606158,9.76996261670137756E-015)               (14.487313191209301,63.007953392092737)        (5.12271228449450999E-002,-42.229365711157570)              (-47.063485308910892,4.2626005584285176)               (25.620579894429167,21.452498957341010)        (3122.5423062590403,-1.06400890702296191E-015)
  0.50559494000597693                  (-18.148007314367806,-47.268005606185490)             (-60.244615501462533,-13.764696703451687)               (41.513499268186308,48.729303796139305)              (-31.886145284951706,1.2389518291062447)        (92.975375586819951,-3.06421554796543205E-014)             (-31.886145284951688,-1.2389518291062549)              (41.513499268186266,-48.729303796139313)              (-60.244615501462505,13.764696703451651)              (-18.148007314367771,47.268005606185483)         (3260.4694046981558,4.76596165961337692E-014)
  0.50472636026297268                   (67.749795472620548,-3.5731960094410140)              (-12.303644913122191,1.2976709748948319)              (-32.442904287796310,4.0448349413026650)               (1.6882026753327417,18.352711734300158)       (-16.368290711213753,-2.77555756156289135E-014)              (1.6882026753327148,-18.352711734300129)             (-32.442904287796352,-4.0448349413026969)             (-12.303644913122264,-1.2976709748948791)               (67.749795472620548,3.5731960094409856)        (3052.8412038065549,-1.32172376342276632E-015)
  0.50343766608676910                   (-25.205955133500382,13.060270485073861)               (42.943725605261392,30.511450275184693)             (-11.512734535143851,-29.421730463890224)              (75.131414713817506,-114.94365988428913)        (-75.651422124691678,2.09832151654154586E-014)               (75.131414713817435,114.94365988428903)              (-11.512734535143837,29.421730463890270)              (42.943725605261363,-30.511450275184753)             (-25.205955133500272,-13.060270485073994)         (3199.4934322851159,3.05734170619187395E-015)
  0.50490900201986399                   (-5.2004539596558708,78.477384157937024)              (6.1922044905200009,-20.157994627382415)              (17.779862398973449,-49.077355926448526)              (-19.954354702187377,13.444212678506529)         (85.158821476300304,1.68753899743023794E-014)             (-19.954354702187366,-13.444212678506553)               (17.779862398973478,49.077355926448462)               (6.1922044905199956,20.157994627382475)             (-5.2004539596558086,-78.477384157937081)        (2989.1255929739264,-6.25384076122226240E-015)
  0.50540054949558710                    (10.412432312026617,6.4291707011746748)              (29.812846129369063,-24.883677103358085)              (98.541945545670956,-69.850180348270086)        (2.09129143277069218E-002,-26.988305166666272)         (160.87847739137865,1.45439216225895507E-014)         (2.09129143277071994E-002,26.988305166666347)               (98.541945545670814,69.850180348270158)               (29.812846129369049,24.883677103358071)              (10.412432312026690,-6.4291707011746437)        (3098.5971221335735,-2.10313537418738150E-015)
  0.50638570741678723                    (3.6619108445761603,66.771863713313721)             (-10.999591713345486,-74.971943730716276)              (75.303861820811548,-13.731647759079767)               (22.117848465145947,3.7921491818142110)        (25.627183384017172,-1.66533453693773481E-014)              (22.117848465145954,-3.7921491818141737)               (75.303861820811690,13.731647759079696)              (-10.999591713345485,74.971943730716148)              (3.6619108445761901,-66.771863713313635)         (2794.4584133512976,5.77118105908602796E-015)
  0.50843417869311358             (-35.105488133261844,5.98003996940354443E-002)             (-1.7315673238143634,-60.185042810440919)              (-27.271900458383389,56.468247511253651)               (5.0100258844175753,102.67496458308895)         (18.263512280074877,2.47718512369488053E-014)              (5.0100258844175709,-102.67496458308884)             (-27.271900458383453,-56.468247511253672)              (-1.7315673238144091,60.185042810440869)       (-35.105488133261858,-5.98003996940229543E-002)         (3039.4924604512503,1.01629316941187486E-014)
  0.50512610982000949                    (55.124080345078163,10.526559661766036)               (57.120259989123468,12.594806089411048)              (-43.287654252358514,50.859400463229477)               (68.486120446049384,59.877126275412664)        (-47.906781564474159,4.55191440096314182E-015)              (68.486120446049426,-59.877126275412571)             (-43.287654252358607,-50.859400463229420)              (57.120259989123383,-12.594806089410985)              (55.124080345078220,-10.526559661766015)         (3109.7712262724767,8.58139243258698725E-015)
  0.50817800140653346                  (48.642504057828390,-0.65926120204734029)              (-6.4496190349340683,12.005955295553818)              (-20.753706030279655,15.552641976979627)              (-16.164036789620052,11.938981753350896)        (-36.540436383756770,4.17443857259058859E-014)             (-16.164036789620056,-11.938981753350884)             (-20.753706030279695,-15.552641976979688)             (-6.4496190349340887,-12.005955295553754)              (48.642504057828255,0.65926120204739336)        (3092.1394365550327,-4.80220247248142051E-015)
